O'CONNOR,O'Connor Cooperative School,Black Mountain School,St Joseph's Primary School,,,,,,,,,,,,,,,,,,,,,
MERRYLANDS,Fowler Road School,"Key College, Chapel School campus",Merrylands Public School,Sherwood Grange Public School,Merrylands East Public School,Holroyd School,Merrylands High School,Hilltop Road Public School,St Margaret Mary's Primary School,Cerdon College,,,,,,,,,,,,,,
SEFTON,Sefton Infants School,Sefton High School,Immaculate Heart of Mary Catholic Primary School,,,,,,,,,,,,,,,,,,,,,
GREENACRE,Mount Lewis Infants School,Al Noori Muslim School - Senior Campus,Greenacre Public School,Chullora Public School,Banksia Road Public School,St John Vianney Catholic Primary School,Holy Saviour School,Greenacre Baptist Christian Community School,Al Sadiq College,Al Noori Muslim School,Malek Fahd Islamic School,,,,,,,,,,,,,
BANKSTOWN,Bankstown South Infants School,Bankstown Senior College,Bankstown Hospital School,Bankstown North Public School,Condell Park Public School,Wattawa Heights Public School,Bankstown West Public School,Bankstown Public School,Bankstown Girls High School,St Felix Catholic Primary School,St Brendan's Catholic Primary School,La Salle Catholic College,"Al Amanah College, Bankstown campus",St Euphemia College,,,,,,,,,,
ARNCLIFFE,Arncliffe West Infants School,Athelstane Public School,Arncliffe Public School,St Francis Xavier's Catholic Primary School,Al Zahra College,Kingdom Culture Christian School,,,,,,,,,,,,,,,,,,
BARDWELL PARK,Bardwell Park Infants School,,,,,,,,,,,,,,,,,,,,,,,
PENSHURST,Hurstville Grove Infants School,Penshurst Public School,Georges River College Penshurst Girls Campus,St Declan's Catholic Primary School,,,,,,,,,,,,,,,,,,,,
KOTARA,Kotara School,Kotara South Public School,,,,,,,,,,,,,,,,,,,,,,
JESMOND,Callaghan College Jesmond Campus,Jesmond Public School,Heaton Public School,,,,,,,,,,,,,,,,,,,,,
NEW LAMBTON HEIGHTS,New Lambton Heights Infants School,John Hunter Hospital School,,,,,,,,,,,,,,,,,,,,,,
LORN,Nillo Infants School,,,,,,,,,,,,,,,,,,,,,,,
STANFORD MERTHYR,Stanford Merthyr Infants School,,,,,,,,,,,,,,,,,,,,,,,
GLEN INNES,Glen Innes West Infants School,Glen Innes Public School,Wytaliba Public School,Glen Innes High School,St Joseph's Primary School,,,,,,,,,,,,,,,,,,,
RUGBY,Rugby Public School,,,,,,,,,,,,,,,,,,,,,,,
CABRAMURRA,Cabramurra Public School,,,,,,,,,,,,,,,,,,,,,,,
NARRANDERA,Narrandera East Infants School,Narrandera Public School,Narrandera High School,St Joseph's Primary School,,,,,,,,,,,,,,,,,,,,
JUGIONG,Jugiong Public School,,,,,,,,,,,,,,,,,,,,,,,
SOFALA,Sofala Public School,,,,,,,,,,,,,,,,,,,,,,,
GOOLMA,Goolma Public School,,,,,,,,,,,,,,,,,,,,,,,
MOSS VALE,St Paul's International College,Moss Vale Public School,Moss Vale High School,St Paul's Catholic Primary School,Tudor House,,,,,,,,,,,,,,,,,,,
CRONULLA,"De La Salle Catholic College, Cronulla",Cronulla Public School,Cronulla South Public School,Woolooware Public School,Burraneer Bay Public School,Cronulla High School,St Aloysius Catholic Primary School,Our Lady of Mercy Catholic College Burraneer,,,,,,,,,,,,,,,,
MAITLAND,All Saints College (St Mary's Campus),Telarah Public School,Maitland Public School,St John the Baptist Primary School,All Saints College (St Peter's Campus),All Saints College (St Mary's Campus) - St Peter's Campus,,,,,,,,,,,,,,,,,,
PORT KEMBLA,Five Islands Secondary College,Port Kembla Public School,Kemblawarra Public School,St Patrick's Catholic Primary School,,,,,,,,,,,,,,,,,,,,
