OXLEY,Oxley State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PADDINGTON,Petrie Terrace State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIMPAMA,Pimpama State School,Ormeau State School,Lutheran Ormeau Rivers District School,Pimpama State Secondary College,King's Christian College - Pimpama Campus,Pimpama State Primary College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAPOON,Western Cape College - Mapoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTENARY HEIGHTS,Gabbinbar State School,Centenary Heights State High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEAK CROSSING,Peak Crossing State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROLLESTON,Rolleston State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMFORD VILLAGE,Samford State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DYSART,Dysart State School,Dysart State High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAISY HILL,Daisy Hill State School,St Edward the Confessor School,John Paul College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACKENZIE RIVER,Mackenzie River State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRINGSURE,Springsure State School,Our Lady of the Sacred Heart Catholic Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAROOM,Taroom State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOWER TENTHILL,Tent Hill Lower State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIARO,Tiaro State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST LUCIA,Ironside State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOOWOOMBA,Toowoomba North State School,Youth and Community Learning Centre,Holy Name Primary School,Mater Dei Primary School,Our Lady of Lourdes Primary School,Sacred Heart Primary School,St Anthony's School,St Saviour's Primary School,St Thomas More's Primary School,St Joseph's College,St Mary's College,Downlands College,St Saviour's College,St Ursula's College,Agnew School - Toowoomba,Toowoomba Anglican College and Preparatory School,The Glennie School,Fairholme College,Darling Downs Christian School,Concordia Lutheran College,Maridahdi Early Childhood Community School,Concordia Lutheran College - Concordia Primary Campus,Concordia Lutheran College - Martin Luther Primary Campus,Christian Outreach College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOOMBUNGEE,Goombungee State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH WARD,Townsville Central State School,"St Joseph's Catholic School, The Strand",Townsville Grammar School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAIGSLEA,Haigslea State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAMANTO,Amberley District State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WARWICK,Warwick Central State School,Warwick East State School,Glennie Heights State School,Warwick West State School,Warwick State High School,St Mary's School - Upper Primary Campus,St Mary's School,Assumption College,The School of Total Education,The SCOTS PGC College,Warwick Christian College - Canningvale Road Campus,Warwick Christian College - Horsman Road Campus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORDALBA,Cordalba State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WESTWOOD,Westwood State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOODHILL,Woodhill State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOGAN VILLAGE,Logan Village State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOMERA,Coomera State School,Saint Stephen's College,Coomera Anglican College,Coomera Rivers State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORAYFIELD,Morayfield State School,Minimbah State School,Morayfield East State School,Morayfield State High School,Carmichael College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLENVALE,Glenvale State School,Glenvale Christian School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TINGALPA,Tingalpa State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPPER MOUNT GRAVATT,Upper Mount Gravatt State School,St Bernard's School,Clairvaux MacKillop College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STANWELL,Stanwell State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATERFORD,Waterford State School,Canterbury College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSEWOOD,Rosewood State School,Rosewood State High School,St Brigid's Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STANTHORPE,Stanthorpe State School,Stanthorpe State High School,St Joseph's School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST GEORGE,St George State School,St George State High School,St Patrick's School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAWARRAL,Cawarral State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARDWELL,Cardwell State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PULLENVALE,Pullenvale State School,Brisbane Independent School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAVENSWOOD,Ravenswood State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SURAT,Surat State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANSFIELD,Mansfield State School,Mansfield State High School,Brisbane Adventist College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRANDCHESTER,Grandchester State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLAMORGAN VALE,Glamorgan Vale State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAMBO,Tambo State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YANGAN,Yangan State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTDAPILLY,Mutdapilly State School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SANDGATE,Sandgate State School,Sacred Heart Primary School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
