WARAKURNA,Ngaanyatjarra Lands School,,,,,,,,,,,,,,
DARKAN,Darkan Primary School,,,,,,,,,,,,,,
SUBIACO,School of Special Education Needs - Medical and Mental Health,Perth Modern School,Subiaco Primary School,,,,,,,,,,,,
COOLBINIA,Sir David Brand School,Coolbinia Primary School,,,,,,,,,,,,,
YANGEBUP,Divine Mercy College,Yangebup Primary School,Mater Christi Catholic Primary School,,,,,,,,,,,,
WILSON,Rehoboth Christian College - Wilson Campus,Wilson Primary School,,,,,,,,,,,,,
MARGARET RIVER,Margaret River Senior High School,Margaret River Primary School,St Thomas More Catholic Primary School,Margaret River Montessori School,,,,,,,,,,,
MELVILLE,Melville Senior High School,Melville Primary School,,,,,,,,,,,,,
MOUNT LAWLEY,Mount Lawley Senior High School,Mount Lawley Primary School,St Paul's Primary School,Perth College,,,,,,,,,,,
SOUTH BUNBURY,Newton Moore Senior High School,Adam Road Primary School,South Bunbury Primary School,South Bunbury Education Support Centre,,,,,,,,,,,
PINJARRA,Pinjarra Senior High School,Pinjarra Primary School,Carcoola Primary School,St Joseph's Catholic Primary School,Fairbridge College,,,,,,,,,,
BEACONSFIELD,South Fremantle Senior High School,Winterfold Primary School,Christ the King School,Beaconsfield Primary School,,,,,,,,,,,
ROSSMOYNE,Rossmoyne Senior High School,Rossmoyne Primary School,,,,,,,,,,,,,
COMO,Como Secondary College,Collier Primary School,Como Primary School,Penrhos College,Alta-1 College - Como Campus,,,,,,,,,,
BALGA,Balga Senior High School,Balga Primary School,North Balga Primary School,Warriapendi Primary School,Gladys Newton School,Majella Catholic Primary School,,,,,,,,,
NORANDA,Morley Senior High School,Camboon Primary School,Noranda Primary School,,,,,,,,,,,,
MOORA,Central Midlands Senior High School,Moora Primary School,St Joseph's School,,,,,,,,,,,,
SOUTH HEDLAND,Hedland Senior High School,South Hedland Primary School,Baler Primary School,Cassia Primary School,Cassia Education Support Centre,,,,,,,,,,
ROCKINGHAM,Rockingham Senior High School,Rockingham Beach Primary School,Bungaree Primary School,Rockingham Beach Education Support Centre,Rockingham Senior High School Education Support Centre,Star of the Sea Primary School,Kolbe Catholic College,Rockingham Montessori School,SMYL Community College,Rockingham Montessori School - Secondary School Campus,SMYL Community College - Beale Way Campus,,,,
THORNLIE,Thornlie Senior High School,Thornlie Primary School,Yale Primary School,South Thornlie Primary School,Forest Crescent Primary School,Sacred Heart Primary School,Australian Islamic College (Thornlie),,,,,,,,
KARRATHA,Karratha Senior High School,Karratha Primary School,Pegs Creek Primary School,Millars Well Primary School,Tambrey Primary School,St Paul's Primary School,St Luke's College,,,,,,,,
CARINE,Carine Senior High School,Carine Primary School,,,,,,,,,,,,,
KELMSCOTT,Kelmscott Senior High School,Kelmscott Primary School,Clifton Hills Primary School,Good Shepherd Catholic Primary School,Sowilo Community High School,,,,,,,,,,
BEVERLEY,Beverley District High School,,,,,,,,,,,,,,
BODDINGTON,Boddington District High School,,,,,,,,,,,,,,
BOYUP BROOK,Boyup Brook District High School,St Mary's Catholic School,,,,,,,,,,,,,
BROOKTON,Brookton District High School,,,,,,,,,,,,,,
BRUCE ROCK,Bruce Rock District High School,,,,,,,,,,,,,,
BULLSBROOK,Bullsbrook College,,,,,,,,,,,,,,
CARNAMAH,Carnamah District High School,,,,,,,,,,,,,,
CORRIGIN,Corrigin District High School,,,,,,,,,,,,,,
DERBY,Derby District High School,Wananami Remote Community School,Kimberley School Of The Air,Holy Rosary School,Wanalirri Catholic School,Nyikina Mangala Community School,,,,,,,,,
DONNYBROOK,Donnybrook District High School,St Mary's School,Donnybrook District High School - Donnybrook Junior Campus (K-6),,,,,,,,,,,,
DOWERIN,Dowerin District High School,,,,,,,,,,,,,,
EXMOUTH,Exmouth District High School,,,,,,,,,,,,,,
JERRAMUNGUP,Jerramungup District High School,,,,,,,,,,,,,,
KELLERBERRIN,Kellerberrin District High School,,,,,,,,,,,,,,
KOJONUP,Kojonup District High School,St Bernard's School,,,,,,,,,,,,,
KULIN,Kulin District High School,,,,,,,,,,,,,,
LAKE GRACE,Lake Grace District High School,,,,,,,,,,,,,,
MEEKATHARRA,Meekatharra District High School,,,,,,,,,,,,,,
MUKINBUDIN,Mukinbudin District High School,,,,,,,,,,,,,,
MULLEWA,Mullewa District High School,Our Lady of Mount Carmel School,,,,,,,,,,,,,
NANNUP,Nannup District High School,,,,,,,,,,,,,,
NAREMBEEN,Narembeen District High School,,,,,,,,,,,,,,
NORSEMAN,Norseman District High School,,,,,,,,,,,,,,
