DARLING SOUTH,The Currajong School,,,,,,,,,,,,,,,,,,,,,,
COBURG,Coburg High School,Coburg Primary School,Moreland Primary School,Coburg West Primary School,Coburg North Primary School,Coburg Special Developmental School,St Paul's School,St Bernard's School,Antonine College - Cedar Campus,Australian International Academy of Education,Lynall Hall Community School-The Island Campus,Coburg High School-Coburg Teaching Unit,,,,,,,,,,,
POINT COOK,Point Cook Senior Secondary College,Point Cook Prep - Year 9 College,Carranballac P-9 College,Carranballac P-9 College-Jamieson Way Campus,Emmanuel College - Notre Dame Campus,Lumen Christi School,Stella Maris Catholic Primary School,Alamanda K-9 College,St Mary of the Cross Catholic Primary School,Featherbrook P-9 College,,,,,,,,,,,,,
BENALLA,EdSpace,St Joseph's School,FCJ College,Australian Christian College Hume,Benalla P-12 College,Benalla P-12 College-Barkly Street Campus,Benalla P-12 College-Waller Street Campus,Benalla P-12 College-Avon Street Campus,Benalla P-12 College-Clarke Street Campus,Wodonga Senior Secondary College-Benalla Flexible Learning Centre,,,,,,,,,,,,,
FITZROY NORTH,Deutsche Schule Melbourne,Simonds Catholic College - St Brigid's VCE Campus,Fitzroy North Primary School,Merri Creek Primary School,Fitzroy High School,Fitzroy Community School,Hester Hornbrook Academy - North Fitzroy,,,,,,,,,,,,,,,,
CLAYTON,John Monash Science School,Clayton North Primary School,St Peter's School,Lyndale Secondary College-Monash Adolescent Psychiatric Centre,SEDA College (Victoria) - AFL - Clayton,,,,,,,,,,,,,,,,,,
WARRAGUL,Community College Gippsland Ltd,Warragul Primary School,Warragul North Primary School,Warragul & District Specialist School,Warragul Regional College,St Joseph's School,Marist-Sion College,St Paul's Anglican Grammar School,St Paul's Anglican Grammar School - Sutton Street Campus,,,,,,,,,,,,,,
SHEPPARTON,Shepparton Adult & Community Education Inc,Gowrie Street Primary School Shepparton,St Georges Road Primary School Shepparton,Bourchier Street Primary School Shepparton,Wilmot Road Primary School Shepparton,Guthrie Street Primary School Shepparton,Verney Road School,McGuire College,Shepparton High School,Wanganui Park Secondary College,St Brendan's School,Notre Dame College,St Mel's School,Goulburn Valley Grammar School,Shepparton Christian College Ltd,Berry Street School - Shepparton Campus,Guthrie Street Primary School Shepparton-Shepparton Deaf Facility,Wodonga Senior Secondary College-Shepparton Flexible Learning Centre,Gowrie Street Primary School Shepparton-Manega Koorie Annexe,Shepparton High School-Shepparton High School Deaf Facility,St Georges Road Primary School Shepparton-Shepparton English Language Centre,SEDA College (Victoria) - Multi Sports - Shepparton,
SEYMOUR,Seymour College,St Mary's College,Seymour College Delatite Road Campus,Seymour College Grant Street Campus,Seymour College-Special Campus,Wodonga Senior Secondary College-Seymour Flexible Learning Centre,Seymour College-Seymour College Agricultural Block,,,,,,,,,,,,,,,,
BURWOOD,Emmaus College - Burwood Campus,Wattle Park Primary School,St Benedict's School,Presbyterian Ladies' College,Mount Scopus Memorial College,SEDA College (Victoria) - Basketball Burwood,,,,,,,,,,,,,,,,,
BALWYN,Fintona Girls' School - Junior School,Balwyn Primary School,Deepdene Primary School,Belmore School,Fintona Girls' School,,,,,,,,,,,,,,,,,,
ARMADALE,Lauriston Girls' School - Blairholme Campus,The King David School - The Rebecca Magid Centre,Armadale Primary School,Lauriston Girls' School,The King David School,The King David School - Junior School,,,,,,,,,,,,,,,,,
CAULFIELD SOUTH,Mount Scopus Memorial College - Fink Karp Ivany Campus,Caulfield South Primary School,Caulfield Primary School,Leibler Yavneh College,Melbourne Montessori School,Japanese School of Melbourne,,,,,,,,,,,,,,,,,
BRIGHTON,Brighton Grammar School - Primary Campus,Firbank Grammar School - Second Campus,Yesodei HaTorah College - Brighton Campus,Brighton Primary School,Brighton Beach Primary School,Elsternwick Primary School,Star of the Sea College,St James' School,Xavier College - Kostka Hall Campus,St Joan of Arc School,Firbank Grammar School,Haileybury College - Brighton Campus,Brighton Grammar School,Brighton Primary School-Brighton Primary School Deaf Facility,Haileybury Girls College - Brighton Campus,,,,,,,,
WARRNAMBOOL,Emmanuel College Inc. - Senior Campus,Warrnambool West Primary School,Warrnambool Primary School,Merrivale Primary School,Warrnambool East Primary School,Warrnambool Special Developmental School,Brauer Secondary College,Warrnambool College,Emmanuel College Inc.,St Joseph's School,St Pius X School,Our Lady Help of Christians School,King's College,Warrnambool College-Wave Campus,,,,,,,,,
MALVERN,De La Salle College - Kinnoull Campus,Malvern Central School,De La Salle College,St Joseph's School,,,,,,,,,,,,,,,,,,,
WERRIBEE SOUTH,MacKillop Catholic Regional College - St Mary's Campus,Warringa Park School-Cayleys Road Campus,,,,,,,,,,,,,,,,,,,,,
MORWELL,Berry Street School - Morwell Campus,Morwell Park Primary School,Kurnai College,Sacred Heart School,St Vincent de Paul's School,Kurnai College - FLO Campus,Morwell Central Primary School,,,,,,,,,,,,,,,,
DOOKIE COLLEGE,Mansfield Autism Statewide Services - Dookie Campus Secondary School,Currawa Primary School,,,,,,,,,,,,,,,,,,,,,
