PORT NEILL,Port Neill Primary School,,,,,,,,,,,,,,,,
TORRENSVILLE,Thebarton Senior College,Torrensville Primary School,,,,,,,,,,,,,,,
PENNESHAW,Kangaroo Island Community Education - Penneshaw Campus,,,,,,,,,,,,,,,,
GOLDEN GROVE,Pedare Christian College - Primary School Campus,Golden Grove High School,Golden Grove Primary School,Gleeson College,Pedare Christian College,,,,,,,,,,,,
MOUNT GAMBIER,Meridian School - Mount Gambier Campus,Reidy Park Primary School,Mount Gambier High School,Grant High School,Mount Gambier North Primary School,Gordon Education Centre,Mulga Street Primary School,Tenison Woods College,St Martins Lutheran College,McDonald Park School,Melaleuca Park Primary School,,,,,,
MARION,Sunrise Christian School - Marion Campus,Marion Primary School,Westminster School,,,,,,,,,,,,,,
ADELAIDE,Muirden Senior College,Eynesbury Senior College,Gilles Street Primary School,Adelaide High School,Sturt Street Community School,Christian Brothers' College,St Aloysius College,St Mary's College,Pulteney Grammar School,Christian Brothers' College - Junior Campus,Eynesbury College,Specialised Assistance School For Youth (SASY),University Senior College at Adelaide University - Rundle Mall Campus,,,,
SOMERTON PARK,Sacred Heart College,,,,,,,,,,,,,,,,
ELIZABETH,Northern Adelaide Senior College,Playford International College,Kaurna Plains School,Playford College,,,,,,,,,,,,,
MARDEN,Marden Senior College,Open Access College,,,,,,,,,,,,,,,
WHYALLA NORRIE,Edward John Eyre High School,Whyalla Special Education Centre,Nicolson Avenue Primary School,Hincks Avenue Primary School,Fisk Street Primary School,Long Street Primary School,"Sunrise Christian School, Whyalla",,,,,,,,,,
POINT PEARCE,Central Yorke School - Point Pearce Campus,,,,,,,,,,,,,,,,
PORT LINCOLN,Port Lincoln Junior Primary School,Port Lincoln Primary School,Port Lincoln High School,Kirton Point Primary School,Lincoln Gardens Primary School,Port Lincoln Special School,St Joseph's School,Navigator College,,,,,,,,,
CAVAN,Youth Education Centre - Goldsborough Road Campus (Cavan),Youth Education Centre - Jonal Drive Campus (Cavan),,,,,,,,,,,,,,,
BEDFORD PARK,Australian Science and Mathematics School,,,,,,,,,,,,,,,,
ADELAIDE UNIVERSITY,University Senior College at Adelaide University,,,,,,,,,,,,,,,,
EDINBURGH NORTH,St Patrick's Technical College,,,,,,,,,,,,,,,,
CHRISTIE DOWNS,Marcellin Technical College,Christies Beach High School and Southern Vocational College,Lonsdale Heights Primary School,Christie Downs Primary School,FAME - Flexible Accredited Meaningful Engagement,,,,,,,,,,,,
KENSINGTON,St Joseph's Memorial School - Junior Primary Campus,Marryatville Primary School,Mary MacKillop College,,,,,,,,,,,,,,
